date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:20	46363/46363	---M-Z	200	added ('OK')	application/javascript	etag:%22b51b-5bfed2f0ba540-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/js/simplebar.min.js	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/js/simplebar.min.js	(from http://likeabawz.dk/exill/demo/kitzu/template/video.html)
23:06:21	62591/62591	---M-Z	200	added ('OK')	application/javascript	etag:%22f47f-5bfed2e3605c0-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/js/jquery.mb.YTPlayer.min.js	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/js/jquery.mb.YTPlayer.min.js	(from http://likeabawz.dk/exill/demo/kitzu/template/video.html)
23:06:22	6119/6119	---M-Z	200	added ('OK')	application/javascript	etag:%2217e7-5bfed2ece9c40-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/js/main.js	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/js/main.js	(from http://likeabawz.dk/exill/demo/kitzu/template/video.html)
23:06:22	338/338	---M-Z	200	added ('OK')	application/javascript	etag:%22152-5bfed2d7eeac0-gzip%22	http://likeabawz.dk/exill/demo/kitzu/template/js/custom.js	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/js/custom.js	(from http://likeabawz.dk/exill/demo/kitzu/template/video.html)
23:06:22	0/0	---M-Z	200	added ('OK')	application/javascript	etag:W/%220-5bfed32ccf300%22	http://likeabawz.dk/exill/demo/kitzu/customizer/main.js	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/customizer/main.js	(from http://likeabawz.dk/exill/demo/kitzu/template/video.html)
23:06:31	50556/50556	---M--	200	added ('OK')	font/woff2	etag:%22c57c-5bfed27d55500%22	http://likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons.woff2?v=4.5.7	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons9a08.woff2	(from http://likeabawz.dk/exill/demo/kitzu/template/css/ionicons.min.css)
23:06:34	65916/65916	---M--	200	added ('OK')	application/font-woff	etag:%221017c-5bfed275b4300%22	http://likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons.woff?v=4.5.7	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons9a08.woff	(from http://likeabawz.dk/exill/demo/kitzu/template/css/ionicons.min.css)
23:06:34	112662/112662	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b816-5bfed24cb2240%22	http://likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons.eot?v=4.5.7	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons9a08.eot	(from http://likeabawz.dk/exill/demo/kitzu/template/css/ionicons.min.css)
23:06:35	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Oct%202022%2019:06:33%20GMT	http://likeabawz.dk/exill/demo/kitzu/template/css/font/ytp-regular.eot	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/css/font/ytp-regular.48.delayed	(from http://likeabawz.dk/exill/demo/kitzu/template/css/jquery.mb.YTPlayer.min.css)
23:06:39	312755/312755	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c5b3-5bfed26395840%22	http://likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons.svg?v=4.5.7	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons9a08.svg	(from http://likeabawz.dk/exill/demo/kitzu/template/css/ionicons.min.css)
23:06:41	112484/112484	---M--	200	added ('OK')	application/font-sfnt	etag:%221b764-5bfed26d1eec0%22	http://likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons.ttf?v=4.5.7	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/fonts/ionicons9a08.ttf	(from http://likeabawz.dk/exill/demo/kitzu/template/css/ionicons.min.css)
23:06:41	41865/41865	---M--	200	added ('OK')	image/jpeg	etag:%22a389-5bfed2cf59680%22	http://likeabawz.dk/exill/demo/kitzu/template/img/video.jpg	C:/Users/admin/Desktop/Portfolio-branch/likeabawz.dk/exill/demo/kitzu/template/img/video.jpg	(from http://likeabawz.dk/exill/demo/kitzu/template/css/main.css)
